date,time,distance,cnt,pwm,uid,,,,,,
22/04/29,14:51:25,28,81,90,88,,,,,,
22/04/29,14:51:25,22,81,91,88,,,,,,
22/04/29,14:51:25,20,81,90,88,,,,,,
22/04/29,14:51:26,21,81,90,88,,,,,,
22/04/29,14:51:26,31,81,90,88,,,,,,
22/04/29,14:51:26,32,81,90,88,,,,,,
22/04/29,14:51:26,38,81,90,88,,,,,,
22/04/29,14:51:26,43,81,90,88,,,,,,
22/04/29,14:51:27,45,81,90,88,,,,,,
22/04/29,14:51:27,38,81,90,88,,,,,,
22/04/29,14:51:27,37,81,90,88,,,,,,
22/04/29,14:51:27,37,81,90,88,,,,,,
22/04/29,14:51:27,27,81,90,88,,,,,,
22/04/29,14:51:27,25,80,90,88,,,,,,
22/04/29,14:51:28,19,80,91,88,,,,,,
22/04/29,14:51:28,25,80,90,88,,,,,,
22/04/29,14:51:28,19,80,91,88,,,,,,
22/04/29,14:51:28,26,80,90,88,,,,,,
22/04/29,14:51:28,31,80,90,88,,,,,,
22/04/29,14:51:29,37,80,90,88,,,,,,
22/04/29,14:51:29,38,80,90,88,,,,,,
22/04/29,14:51:29,43,80,90,88,,,,,,
22/04/29,14:51:29,49,80,90,88,,,,,,
22/04/29,14:51:29,48,80,90,88,,,,,,
22/04/29,14:51:30,37,80,90,88,,,,,,
22/04/29,14:51:30,35,80,90,88,,,,,,
22/04/29,14:51:30,30,80,90,88,,,,,,
22/04/29,14:51:30,23,80,90,88,,,,,,
22/04/29,14:51:30,20,79,91,88,,,,,,
22/04/29,14:51:30,26,79,90,88,,,,,,
22/04/29,14:51:31,29,79,90,88,,,,,,
22/04/29,14:51:31,23,79,90,88,,,,,,
22/04/29,14:51:31,26,79,90,88,,,,,,
22/04/29,14:51:31,30,79,90,88,,,,,,
22/04/29,14:51:31,32,79,90,88,,,,,,
22/04/29,14:51:32,37,79,90,88,,,,,,
22/04/29,14:51:32,41,79,90,88,,,,,,
22/04/29,14:51:32,42,79,90,88,,,,,,
22/04/29,14:51:32,41,79,91,88,,,,,,
22/04/29,14:51:32,36,79,90,88,,,,,,
22/04/29,14:51:33,33,79,90,88,,,,,,
22/04/29,14:51:33,27,79,90,88,,,,,,
22/04/29,14:51:33,19,78,90,88,,,,,,
22/04/29,14:51:33,22,78,90,88,,,,,,
22/04/29,14:51:33,23,78,90,88,,,,,,
22/04/29,14:51:33,22,78,90,88,,,,,,
22/04/29,14:51:34,24,78,90,88,,,,,,
22/04/29,14:51:34,30,78,90,88,,,,,,
22/04/29,14:51:34,37,78,90,88,,,,,,
22/04/29,14:51:34,40,78,90,88,,,,,,
22/04/29,14:51:34,45,78,90,88,,,,,,
22/04/29,14:51:35,46,78,90,88,,,,,,
22/04/29,14:51:35,44,78,90,88,,,,,,
22/04/29,14:51:35,39,78,90,88,,,,,,
22/04/29,14:51:35,35,78,90,88,,,,,,
22/04/29,14:51:35,27,78,90,88,,,,,,
22/04/29,14:51:36,25,77,90,88,,,,,,
22/04/29,14:51:36,21,77,90,88,,,,,,
22/04/29,14:51:36,27,77,90,88,,,,,,
22/04/29,14:51:36,19,77,90,88,,,,,,
22/04/29,14:51:36,27,77,90,88,,,,,,
22/04/29,14:51:36,29,77,90,88,,,,,,
22/04/29,14:51:37,39,77,90,88,,,,,,
22/04/29,14:51:37,41,77,90,88,,,,,,
22/04/29,14:51:37,42,77,90,88,,,,,,
22/04/29,14:51:37,49,77,91,88,,,,,,
22/04/29,14:51:37,43,77,91,88,,,,,,
22/04/29,14:51:38,40,77,90,88,,,,,,
22/04/29,14:51:38,35,77,90,88,,,,,,
22/04/29,14:51:38,31,77,90,88,,,,,,
22/04/29,14:51:38,22,76,90,88,,,,,,
22/04/29,14:51:38,18,76,90,88,,,,,,
22/04/29,14:51:39,22,76,90,88,,,,,,
22/04/29,14:51:39,26,76,90,88,,,,,,
22/04/29,14:51:39,27,76,90,88,,,,,,
22/04/29,14:51:39,34,76,90,88,,,,,,
22/04/29,14:51:39,39,76,90,88,,,,,,
22/04/29,14:51:39,43,76,91,88,,,,,,
22/04/29,14:51:40,45,76,90,88,,,,,,
22/04/29,14:51:40,40,76,90,88,,,,,,
22/04/29,14:51:40,36,76,90,88,,,,,,
22/04/29,14:51:40,31,76,90,88,,,,,,
22/04/29,14:51:40,24,76,90,88,,,,,,
22/04/29,14:51:41,23,75,91,88,,,,,,
22/04/29,14:51:41,21,75,90,88,,,,,,
22/04/29,14:51:41,30,75,90,88,,,,,,
22/04/29,14:51:41,21,75,90,88,,,,,,
22/04/29,14:51:41,23,75,90,88,,,,,,
22/04/29,14:51:42,30,75,90,88,,,,,,
22/04/29,14:51:42,37,75,90,88,,,,,,
22/04/29,14:51:42,38,75,90,88,,,,,,
22/04/29,14:51:42,42,75,91,88,,,,,,
22/04/29,14:51:42,43,75,90,88,,,,,,
22/04/29,14:51:42,40,75,91,88,,,,,,
22/04/29,14:51:43,40,75,90,88,,,,,,
22/04/29,14:51:43,35,75,90,88,,,,,,
22/04/29,14:51:43,24,75,90,88,,,,,,
22/04/29,14:51:43,28,74,90,88,,,,,,
22/04/29,14:51:43,24,74,90,88,,,,,,
22/04/29,14:51:44,28,74,90,88,,,,,,
22/04/29,14:51:44,23,74,90,88,,,,,,
22/04/29,14:51:44,24,74,90,88,,,,,,
22/04/29,14:51:44,33,74,90,88,,,,,,
22/04/29,14:51:44,35,74,90,88,,,,,,
22/04/29,14:51:45,40,74,90,88,,,,,,
22/04/29,14:51:45,44,74,90,88,,,,,,
22/04/29,14:51:45,49,74,90,88,,,,,,
22/04/29,14:51:45,45,74,90,88,,,,,,
22/04/29,14:51:45,37,74,90,88,,,,,,
22/04/29,14:51:45,34,74,90,88,,,,,,
22/04/29,14:51:46,30,74,90,88,,,,,,
22/04/29,14:51:46,22,73,90,88,,,,,,
22/04/29,14:51:46,20,73,90,88,,,,,,
22/04/29,14:51:46,24,73,90,88,,,,,,
22/04/29,14:51:46,22,73,91,88,,,,,,
22/04/29,14:51:47,28,73,90,88,,,,,,
22/04/29,14:51:47,32,73,90,88,,,,,,
22/04/29,14:51:47,35,73,90,88,,,,,,
22/04/29,14:51:47,40,73,90,88,,,,,,
22/04/29,14:51:47,40,73,90,88,,,,,,
22/04/29,14:51:48,38,73,90,88,,,,,,
22/04/29,14:51:48,37,73,90,88,,,,,,
22/04/29,14:51:48,32,73,90,88,,,,,,
22/04/29,14:51:48,22,73,90,88,,,,,,
22/04/29,14:51:48,19,72,90,88,,,,,,
22/04/29,14:51:48,23,72,91,88,,,,,,
22/04/29,14:51:49,30,72,90,88,,,,,,
22/04/29,14:51:49,20,72,91,88,,,,,,
22/04/29,14:51:49,28,72,90,88,,,,,,
22/04/29,14:51:49,27,72,90,88,,,,,,
22/04/29,14:51:49,34,72,90,88,,,,,,
22/04/29,14:51:50,40,72,90,88,,,,,,
22/04/29,14:51:50,42,72,91,88,,,,,,
22/04/29,14:51:50,46,72,90,88,,,,,,
22/04/29,14:51:50,43,72,91,88,,,,,,
22/04/29,14:51:50,38,72,90,88,,,,,,
22/04/29,14:51:51,36,72,90,88,,,,,,
22/04/29,14:51:51,25,72,90,88,,,,,,
22/04/29,14:51:51,26,71,90,88,,,,,,
22/04/29,14:51:51,19,71,90,88,,,,,,
22/04/29,14:51:51,24,71,90,88,,,,,,
22/04/29,14:51:51,21,71,90,88,,,,,,
22/04/29,14:51:52,26,71,90,88,,,,,,
22/04/29,14:51:52,30,71,90,88,,,,,,
22/04/29,14:51:52,37,71,90,88,,,,,,
22/04/29,14:51:52,42,71,90,88,,,,,,
22/04/29,14:51:52,43,71,90,88,,,,,,
22/04/29,14:51:53,49,71,90,88,,,,,,
22/04/29,14:51:53,41,71,90,88,,,,,,
22/04/29,14:51:53,41,71,91,88,,,,,,
22/04/29,14:51:53,34,71,90,88,,,,,,
22/04/29,14:51:53,30,71,90,88,,,,,,
22/04/29,14:51:54,23,70,90,88,,,,,,
22/04/29,14:51:54,20,70,90,88,,,,,,
22/04/29,14:51:54,24,70,91,88,,,,,,
22/04/29,14:51:54,18,70,90,88,,,,,,
22/04/29,14:51:54,23,70,90,88,,,,,,
22/04/29,14:51:54,32,70,90,88,,,,,,
22/04/29,14:51:55,37,70,90,88,,,,,,
22/04/29,14:51:55,42,70,91,88,,,,,,
22/04/29,14:51:55,45,70,91,88,,,,,,
22/04/29,14:51:55,50,70,90,88,,,,,,
22/04/29,14:51:55,43,70,90,88,,,,,,
22/04/29,14:51:56,42,70,91,88,,,,,,
22/04/29,14:51:56,34,70,90,88,,,,,,
22/04/29,14:51:56,29,70,90,88,,,,,,
22/04/29,14:51:56,24,69,90,88,,,,,,
22/04/29,14:51:56,22,69,91,88,,,,,,
22/04/29,14:51:57,18,69,90,88,,,,,,
22/04/29,14:51:57,25,69,91,88,,,,,,
22/04/29,14:51:57,28,69,90,88,,,,,,
22/04/29,14:51:57,34,69,90,88,,,,,,
22/04/29,14:51:57,40,69,90,88,,,,,,
22/04/29,14:51:57,41,69,90,88,,,,,,
22/04/29,14:51:58,45,69,90,88,,,,,,
22/04/29,14:51:58,41,69,91,88,,,,,,
22/04/29,14:51:58,39,69,90,88,,,,,,
22/04/29,14:51:58,30,69,90,88,,,,,,
22/04/29,14:51:58,27,69,90,88,,,,,,
22/04/29,14:51:59,19,68,91,88,,,,,,
22/04/29,14:51:59,23,68,90,88,,,,,,
22/04/29,14:51:59,28,68,90,88,,,,,,
22/04/29,14:51:59,22,68,90,88,,,,,,
22/04/29,14:51:59,24,68,90,88,,,,,,
22/04/29,14:52:00,29,68,90,88,,,,,,
22/04/29,14:52:00,36,68,90,88,,,,,,
22/04/29,14:52:00,37,68,90,88,,,,,,
22/04/29,14:52:00,41,68,91,88,,,,,,
22/04/29,14:52:00,45,68,91,88,,,,,,
22/04/29,14:52:00,42,68,90,88,,,,,,
22/04/29,14:52:01,38,68,91,88,,,,,,
22/04/29,14:52:01,36,68,90,88,,,,,,
22/04/29,14:52:01,28,68,90,88,,,,,,
22/04/29,14:52:01,18,67,90,88,,,,,,
22/04/29,14:52:01,23,67,90,88,,,,,,
22/04/29,14:52:02,24,67,91,88,,,,,,
22/04/29,14:52:02,24,67,91,88,,,,,,
22/04/29,14:52:02,25,67,90,88,,,,,,
22/04/29,14:52:02,35,67,90,88,,,,,,
22/04/29,14:52:02,36,67,90,88,,,,,,
22/04/29,14:52:03,41,67,90,88,,,,,,
22/04/29,14:52:03,47,67,90,88,,,,,,
22/04/29,14:52:03,48,67,91,88,,,,,,
22/04/29,14:52:03,46,67,90,88,,,,,,
22/04/29,14:52:03,38,67,90,88,,,,,,
22/04/29,14:52:03,34,67,90,88,,,,,,
22/04/29,14:52:04,33,67,90,88,,,,,,
22/04/29,14:52:04,25,66,90,88,,,,,,
22/04/29,14:52:04,22,66,91,88,,,,,,
22/04/29,14:52:04,21,66,90,88,,,,,,
22/04/29,14:52:04,22,66,91,88,,,,,,
22/04/29,14:52:05,25,66,90,88,,,,,,
22/04/29,14:52:05,35,66,90,88,,,,,,
22/04/29,14:52:05,37,66,90,88,,,,,,
22/04/29,14:52:05,41,66,90,88,,,,,,
22/04/29,14:52:05,45,66,91,88,,,,,,
22/04/29,14:52:06,42,66,91,88,,,,,,
22/04/29,14:52:06,36,66,90,88,,,,,,
22/04/29,14:52:06,32,66,90,88,,,,,,
22/04/29,14:52:06,28,66,90,88,,,,,,
22/04/29,14:52:06,21,65,91,88,,,,,,
22/04/29,14:52:06,21,65,90,88,,,,,,
22/04/29,14:52:07,28,65,91,88,,,,,,
22/04/29,14:52:07,20,65,91,88,,,,,,
22/04/29,14:52:07,25,65,90,88,,,,,,
22/04/29,14:52:07,30,65,90,88,,,,,,
22/04/29,14:52:07,36,65,90,88,,,,,,
22/04/29,14:52:08,37,65,90,88,,,,,,
22/04/29,14:52:08,44,65,91,88,,,,,,
22/04/29,14:52:08,45,65,90,88,,,,,,
22/04/29,14:52:08,44,65,90,88,,,,,,
22/04/29,14:52:08,38,65,90,88,,,,,,
22/04/29,14:52:09,36,65,90,88,,,,,,
22/04/29,14:52:09,27,65,90,88,,,,,,
22/04/29,14:52:09,22,64,90,88,,,,,,
22/04/29,14:52:09,21,64,90,88,,,,,,
22/04/29,14:52:09,25,64,91,88,,,,,,
22/04/29,14:52:10,21,64,90,88,,,,,,
22/04/29,14:52:10,26,64,90,88,,,,,,
22/04/29,14:52:10,34,64,90,88,,,,,,
22/04/29,14:52:10,38,64,90,88,,,,,,
22/04/29,14:52:10,38,64,90,88,,,,,,
22/04/29,14:52:10,45,64,91,88,,,,,,
22/04/29,14:52:11,46,64,91,88,,,,,,
22/04/29,14:52:11,46,64,91,88,,,,,,
22/04/29,14:52:11,39,64,91,88,,,,,,
22/04/29,14:52:11,36,64,90,88,,,,,,
22/04/29,14:52:11,31,64,90,88,,,,,,
22/04/29,14:52:12,27,63,90,88,,,,,,
22/04/29,14:52:12,21,63,91,88,,,,,,
22/04/29,14:52:12,20,63,90,88,,,,,,
22/04/29,14:52:12,21,63,90,88,,,,,,
22/04/29,14:52:12,27,63,90,88,,,,,,
22/04/29,14:52:13,33,63,90,88,,,,,,
22/04/29,14:52:13,36,63,90,88,,,,,,
22/04/29,14:52:13,42,63,90,88,,,,,,
22/04/29,14:52:13,44,63,91,88,,,,,,
22/04/29,14:52:13,42,63,91,88,,,,,,
22/04/29,14:52:13,34,63,90,88,,,,,,
22/04/29,14:52:14,32,63,90,88,,,,,,
22/04/29,14:52:14,29,63,90,88,,,,,,
22/04/29,14:52:14,22,62,90,88,,,,,,
22/04/29,14:52:14,23,62,91,88,,,,,,
22/04/29,14:52:14,23,62,90,88,,,,,,
22/04/29,14:52:15,21,62,90,88,,,,,,
22/04/29,14:52:15,25,62,90,88,,,,,,
22/04/29,14:52:15,30,62,90,88,,,,,,
22/04/29,14:52:15,34,62,90,88,,,,,,
22/04/29,14:52:15,34,62,90,88,,,,,,
22/04/29,14:52:16,44,62,90,88,,,,,,
22/04/29,14:52:16,45,62,91,88,,,,,,
22/04/29,14:52:16,44,62,90,88,,,,,,
22/04/29,14:52:16,40,62,90,88,,,,,,
22/04/29,14:52:16,35,62,90,88,,,,,,
22/04/29,14:52:16,22,62,90,88,,,,,,
22/04/29,14:52:17,24,61,90,88,,,,,,
22/04/29,14:52:17,20,61,91,88,,,,,,
